nt,t (s),enstrophy (m^3/s^2)
524,13.410329542673443,486.87932028729057
525,13.43592177462511,486.6626342726341
526,13.461514006576776,486.40583777050114
527,13.487106238528442,486.11739976357893
528,13.512698470480109,485.70202787751776
529,13.538290702431775,485.37049520473226
530,13.563882934383441,485.07188303585144
531,13.589475166335108,484.90498394167605
532,13.615067398286774,484.56987193045114
533,13.64065963023844,484.3152305257574
534,13.666251862190107,483.9961671488559
535,13.691844094141773,483.65648606387447
536,13.71743632609344,483.2986973591612
537,13.743028558045106,482.96842928497995
538,13.768620789996772,482.6262273815213
539,13.794213021948439,482.2649501539556
540,13.819805253900105,481.8853271415933
541,13.845397485851771,481.5151747678136
542,13.870989717803438,481.1241233982866
543,13.896581949755104,480.4649484743745
544,13.92217418170677,480.09261804931185
545,13.947766413658437,479.91811690175655
546,13.973358645610103,479.5715094083341
547,13.99895087756177,479.19913459924527
548,14.024543109513436,478.8358055706091
549,14.050135341465102,478.491913055106
550,14.075727573416769,478.24633506990193
551,14.101319805368435,477.9182006459406
552,14.126912037320102,477.5932720371672
553,14.152504269271768,477.1776765696068
554,14.178096501223434,476.7835651351965
555,14.2036887331751,476.4986429379822
556,14.229280965126767,476.0829527030373
557,14.254873197078433,475.56811567452604
558,14.2804654290301,475.26496068124874
559,14.306057660981766,474.7999883078119
560,14.331649892933433,474.32610603186083
561,14.357242124885099,473.7887389701213
562,14.382834356836765,473.28150403665444
563,14.408426588788432,472.7767304615975
564,14.434018820740098,472.4730303014195
565,14.459611052691764,471.9064651346889
566,14.48520328464343,471.33930036388455
567,14.510795516595097,470.7483341103259
568,14.536387748546764,470.1269215737359
569,14.56197998049843,469.50765209778405
570,14.587572212450096,468.8769226655284
571,14.613164444401763,468.23638691913277
572,14.63875667635343,467.58503928559185
573,14.664348908305096,466.7131854319155
574,14.689941140256762,466.3015431280819
575,14.715533372208428,465.8881418390204
576,14.741125604160095,465.48442400419617
577,14.766717836111761,465.04600075385605
578,14.792310068063427,464.6423755979299
579,14.817902300015094,464.2491672549998
580,14.84349453196676,463.73961637374117
581,14.869086763918427,463.46238872377177
582,14.894678995870093,463.09764138000185
583,14.92027122782176,462.7788236076307
584,14.945863459773426,462.32088892275533
585,14.971455691725092,461.85119670777317
586,14.997047923676758,461.58465999960515
587,15.022640155628425,461.1332707524352
588,15.048232387580091,460.79840466793394
589,15.073824619531758,460.50276082331413
590,15.099416851483424,460.2420561010565
591,15.12500908343509,460.00756215022903
592,15.150601315386757,459.6758495839302
593,15.176193547338423,459.4673497411982
594,15.20178577929009,459.24730332723226
595,15.227378011241756,459.01019744252403
596,15.252970243193422,458.7681686127979
597,15.278562475145089,458.50670679982807
598,15.304154707096755,458.36788185648345
599,15.329746939048421,458.5947849162618
600,15.355339171000088,458.85360506981726
601,15.380931402951754,459.10233495680535
602,15.40652363490342,459.32544976730554
603,15.432115866855087,459.5296988345149
604,15.457708098806753,459.76141768929836
605,15.48330033075842,460.0896457013489
